event_date,bond_code,Y,prob_proposal,signal_buy,pnl,cumulative_pnl
2025-07-11,127024.SZ,0,0.17074156,0,0.0,0.034
2025-07-15,113610.SH,1,0.5188958,0,0.0,0.034
2025-07-16,110064.SH,0,0.4568012,0,0.0,0.034
2025-07-17,111010.SH,0,0.18495756,0,0.0,0.034
2025-07-18,128134.SZ,0,0.32982355,0,0.0,0.034
2025-07-18,123104.SZ,0,0.43948433,0,0.0,0.034
2025-07-21,127017.SZ,0,0.6847283,0,0.0,0.034
2025-07-21,127025.SZ,0,0.4622612,0,0.0,0.034
2025-07-21,123154.SZ,0,0.5876905,0,0.0,0.034
2025-07-21,127090.SZ,0,0.31071287,0,0.0,0.034
2025-07-24,127062.SZ,0,0.24899797,0,0.0,0.034
2025-07-24,110092.SH,0,0.49059463,0,0.0,0.034
2025-07-30,123113.SZ,0,0.20561461,0,0.0,0.034
