event_date,Y,bond_code,W1,W2,W3,W4a,W5,W6,W7a,W8,W9
2023-03-31,0,113629.SH,0.024804949760437,1.033659,0,1,0,1,0,4.4572,0.03725
2023-03-31,1,123117.SZ,-0.1377566009759903,6.39824,0,0,0,1,0,4.23,0.05301
2023-04-03,0,123155.SZ,-0.1641484946012497,2.329338,0,1,0,1,0,5.3607,0.73188
2023-04-06,0,110081.SH,-0.0662240833044052,1.151514,0,0,0,0,0,4.3094,0.21337
2023-04-06,0,118005.SH,-0.0221090260893106,4.181334,0,1,0,1,0,4.8104,0.03774
2023-04-06,0,123044.SZ,0.1573164314031601,1.499927,0,1,0,0,0,2.9322,0.0014
2023-04-06,0,127073.SZ,-0.1091518849134445,1.965062,0,0,0,0,0,4.4654,0.12381
2023-04-11,0,128053.SZ,-0.055549643933773,2.383839,0,0,0,0,0,1.848,0.04234
2023-04-11,0,128014.SZ,-0.0617464818060398,2.985598,0,1,1,0,0,0.0164,0.12461
2023-04-13,0,127004.SZ,0.0266022607684135,0.912663,0,1,0,0,0,0.1369,0.66823
2023-04-13,0,118018.SH,0.1541353464126587,2.300152,1,1,0,1,0,5.3498,0.54412
2023-04-13,0,118010.SH,-0.1414490789175033,7.247789,0,1,0,1,0,5.2101,0.10241
2023-04-14,1,127053.SZ,-0.000267533265287,1.649348,0,1,0,1,0,4.7803,0.94776
2023-04-17,0,118031.SH,-0.0992374867200851,1.121388,0,0,0,0,0,5.8289,0.10526
2023-04-19,0,110089.SH,-0.0388605296611785,0.870228,1,0,0,1,0,5.4292,0.00893
2023-04-19,0,111003.SH,-0.1823773384094238,1.571281,0,1,0,0,0,4.8843,0.02905
2023-04-19,0,123165.SZ,-0.1156495660543441,1.767255,0,1,0,1,0,5.525,0.18812
2023-04-20,0,113610.SH,-0.0558090880513191,6.365659,0,1,0,0,0,3.6167,0.01604
2023-04-20,0,127059.SZ,-0.0617464818060398,2.985598,0,1,0,1,0,4.9692,0.06195
2023-04-20,0,127075.SZ,0.0190496183931827,0.67541,0,1,0,1,0,5.5003,0.0198
2023-04-21,0,113061.SH,-0.1123595386743545,1.292481,0,0,0,1,0,5.232,0.17683
